Watchlist 'TaqList'

TaqList
Symbol,Last,Net Chng,Bid,Ask
/ES[M26],7584.50,-11.25,7584.50,7584.75
/NQ[M26],30316.50,-88.75,30316.50,30317.50
/GC[Q26],4479.2,-113.80,4478.7,4479.2
/BTC[M26],71765,-1950.00,71700,71760
/CL[N26],94.14,+6.78,94.12,94.15
MU,1012.68,+41.68,1012.43,1012.93
NVDA,219.08,+7.94,219.08,219.11
AVGO,447.705,+.935,447.50,447.93
AMD,488.20,-27.90,488.10,488.27
GEV,945.00,-23.32,943.34,945.20
APP,591.80,-21.29,591.00,592.60
ZS,152.64,+12.91,152.50,152.71
CRWD,754.385,+23.385,753.85,754.92
GOOGL,374.72,-5.62,374.68,374.76
CBRS,220.39,-16.60,220.10,220.68
IBM,309.69,+11.89,309.50,309.95
META,616.46,-16.05,616.20,616.69
INTC,107.00,-7.68,107.00,107.02
CRCL,106.67,-6.33,106.59,106.78
QQQ,736.47,-1.84,736.46,736.53
QCOM,228.26,-22.76,227.99,228.26
RDDT,178.15,+2.15,178.00,178.75
DDOG,260.09,+12.74,260.00,260.48
BE,274.02,-10.98,273.78,274.26
MDB,367.74,+32.19,367.27,368.21
SNOW,268.01,+12.46,267.80,268.22
DG,110.185,-.425,110.03,110.33
WMT,115.63,-.12,115.61,115.65
TJX,153.405,-1.345,153.34,153.57
B,40.75,-1.80,40.74,40.75
ULTA,503.225,-5.625,502.70,503.75
ORCL,231.475,+5.695,231.20,231.74
TSLA,423.895,-11.895,423.82,423.97
FTNT,141.77,+3.80,141.71,141.90
WDAY,155.33,+9.14,155.21,155.57
ROST,227.92,-3.81,227.66,228.10
ARM,386.93,+33.64,386.12,387.43
